Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Credit_History_0.0,Credit_History_1.0
1,1,0,0,-0.13782579766678688,-0.027922909133852893,-0.20787229258219753,360.0,0,N,0,1,0,0,0,1
1,1,0,1,-0.4171006445274618,-0.6040028475801241,-0.9779805245311822,360.0,2,Y,1,0,0,0,0,1
1,1,1,0,-0.4906683079140073,0.2967905840222018,-0.30724109670464717,360.0,2,Y,1,0,0,0,0,1
1,0,0,0,0.11216312084336878,-0.6040028475801241,-0.046397985883216884,360.0,2,Y,1,0,0,0,0,1
1,1,0,1,0.009309529106304039,0.9989357609878826,1.518660679045365,360.0,2,Y,0,0,1,0,0,1
1,1,1,0,-0.5347736216949098,-0.024866782139442968,-0.6177686095873023,360.0,2,Y,1,0,0,0,0,1
1,1,0,0,-0.41074947934301187,0.352564901670183,0.1647607228769886,360.0,1,N,0,0,0,1,1,0
1,1,0,0,-0.23962086187310996,-0.02104662339643056,0.2889717280300506,360.0,2,Y,0,0,1,0,0,1
1,1,0,0,1.3190609271439862,3.585947261755886,2.5371909213004735,360.0,1,N,0,1,0,0,0,1
1,1,0,0,-0.38181639350273977,-0.3365917355692555,-0.9282961224699574,360.0,2,Y,0,0,1,0,0,1
1,1,0,0,-0.4042218929034383,2.4926178295057344,0.6864469445198492,360.0,2,Y,0,0,1,0,0,1
1,0,0,0,-0.6194558241542427,0.4809222354353999,-0.3817676997964844,360.0,0,N,1,0,0,0,0,1
1,1,0,0,-0.7171931994927228,-0.18913360808897653,-1.5866144497811863,120.0,2,Y,0,0,1,0,0,1
1,0,0,0,-0.07307919703642193,-0.6040028475801241,-0.24513559412811614,360.0,2,Y,1,0,0,0,0,1
0,0,0,0,-0.32712580441442063,-0.6040028475801241,-0.8537695193781202,360.0,2,N,1,0,0,0,1,0
1,1,1,0,-0.08419373610920937,-0.6040028475801241,-0.14576679000566653,360.0,0,N,1,0,0,0,0,1
1,1,1,0,0.40502240434856174,-0.6040028475801241,-0.5059787049495464,360.0,2,N,1,0,0,0,1,0
1,1,0,0,0.10422416436280633,1.5448364453643557,2.114873503780063,360.0,2,Y,0,1,0,0,0,1
1,1,1,0,-0.4876691465769059,0.12602948820954718,-0.356925498765872,360.0,1,N,1,0,0,0,1,0
1,1,0,1,0.7402227890834211,-0.6040028475801241,0.5746570398820934,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.4525613168073075,0.25667891722057157,-0.28239889567403476,360.0,1,Y,1,0,0,0,0,1
1,1,1,0,-0.20080818574591572,-0.2067063383068336,-0.4314521018577092,360.0,2,Y,0,0,1,0,0,1
1,0,1,0,-0.6919649600100466,-0.6040028475801241,-1.3630346405056746,360.0,2,N,1,0,0,0,0,1
1,0,0,0,-0.38763829492181895,-0.6040028475801241,-0.8786117204087326,360.0,2,N,1,0,0,0,0,1
1,0,0,1,-0.11859588085831337,-0.6040028475801241,-0.48113650391893403,360.0,0,N,0,1,0,0,0,1
1,1,0,0,-0.32889001696565673,0.0328176148800444,-0.3817676997964844,360.0,1,Y,1,0,0,0,0,1
1,0,0,0,1.2589012791468353,0.5420447753235985,2.1769790063565937,360.0,0,N,0,0,0,1,0,1
0,1,0,0,-0.2994276673600138,-0.0466416869746137,-0.00913468433729827,360.0,1,Y,1,0,0,0,0,1
1,0,0,0,-0.21139346105333234,2.1503316061318225,0.4877093362749499,360.0,2,Y,1,0,0,0,0,1
1,0,1,0,-0.2851375456950014,0.03319963075434564,-0.4314521018577092,360.0,1,Y,1,0,0,0,0,1
1,0,0,0,-0.31124789145329573,-0.6040028475801241,-0.8040851173168954,360.0,2,N,1,0,0,0,0,1
1,0,0,0,-0.628806150675794,-0.14061759205271895,-1.2139814343220001,360.0,2,Y,1,0,0,0,0,1
1,1,0,0,-0.2510882434561446,0.2883862347875745,-0.13334568949036033,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,0.05023926029498161,-0.6040028475801241,-1.2512447358679186,360.0,2,Y,0,1,0,0,0,1
1,1,0,0,0.08058371617624256,-0.6040028475801241,-0.00913468433729827,360.0,2,Y,1,0,0,0,0,1
0,1,0,0,-0.47973019009634343,0.7101317600161444,-0.30724109670464717,360.0,2,N,1,0,0,0,1,0
0,0,0,0,-0.2406793894038516,0.26508326645519886,-0.00913468433729827,360.0,1,Y,1,0,0,0,0,1
0,1,1,0,-0.6062242300199719,0.024031249771115863,-0.5556631070107713,360.0,1,Y,1,0,0,0,0,1
0,0,0,0,-0.40192841658683137,-0.6040028475801241,-0.30724109670464717,360.0,1,Y,1,0,0,0,0,1
0,0,0,0,-0.20010250072542127,-0.6040028475801241,-0.4066099008270968,360.0,1,N,1,0,0,0,0,1
1,1,0,0,-0.13200389624770772,-0.6040028475801241,-0.13334568949036033,360.0,2,N,0,0,1,0,0,1
0,1,0,1,1.0824800240232249,-0.6040028475801241,1.7546615888361827,360.0,2,N,0,1,0,0,1,0
1,1,0,0,-0.468615651023556,-0.15819032227057603,-0.5929264085566899,360.0,1,Y,0,0,1,0,0,1
1,1,0,0,-0.5702342939747554,0.0037844084331500973,-0.6053475090719961,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.3525304651522205,0.23643207588260579,-0.1209245889750541,360.0,0,N,1,0,0,0,0,1
1,1,0,0,0.47911933150047803,0.2555328695976678,0.43802493421372507,360.0,2,Y,0,1,0,0,0,1
1,1,1,0,-0.354118256448333,0.4881805370471235,-0.00913468433729827,360.0,2,Y,0,0,1,0,0,1
1,1,0,0,-0.505311272089267,0.8461294112673863,-0.30724109670464717,360.0,2,Y,1,0,0,0,0,1
1,1,0,0,-0.41198442812887714,-0.6040028475801241,-0.5680842075260775,360.0,2,Y,0,0,0,1,0,1
1,1,1,1,-0.48608135528079344,0.7135699028848556,0.251708426484132,180.0,0,N,1,0,0,0,1,0
0,0,0,0,-0.21139346105333234,-0.6040028475801241,-0.356925498765872,360.0,1,N,1,0,0,0,1,0
1,1,0,0,0.06382369693949959,1.1513600948340776,1.406870774407609,360.0,1,N,1,0,0,0,0,1
1,0,1,0,-0.38181639350273977,0.25706093309487277,-0.23271449361280994,180.0,2,N,1,0,0,0,1,0
1,1,0,0,0.9501640826805173,-0.6040028475801241,2.077610202234144,360.0,2,Y,0,1,0,0,0,1
1,1,1,1,0.30622650147934,-0.6040028475801241,-0.24513559412811614,60.0,2,Y,0,0,0,1,0,1
0,0,0,0,-0.18775301286676857,-0.6040028475801241,-0.1085034884597479,360.0,1,N,1,0,0,0,1,0
1,1,0,0,-0.3804050234617509,0.5672578230274804,0.33865613009127543,360.0,2,Y,1,0,0,0,0,1
1,1,1,1,-0.6155745565415233,0.1122769167347025,-0.5929264085566899,360.0,1,Y,0,0,1,0,0,1
1,0,0,0,-0.32889001696565673,-0.6040028475801241,-0.7916640168015892,300.0,1,Y,1,0,0,0,0,1
1,1,0,1,-0.0173300804173611,0.07369331343027717,0.5249726378208686,360.0,1,Y,0,0,0,1,0,1
1,0,0,0,-0.2847847031847542,-0.6040028475801241,-0.3941888003117906,480.0,2,N,1,0,0,0,0,1
1,0,0,0,-0.2847847031847542,1.21057255535077,0.38834053215250025,360.0,2,N,1,0,0,0,0,1
1,1,0,1,-0.7699431547746822,0.5504491245582258,-0.4314521018577092,360.0,2,N,0,1,0,0,0,1
1,1,0,0,-0.38763829492181895,0.9240606496248394,0.43802493421372507,300.0,1,N,0,0,0,1,1,0
0,0,0,0,-0.2678482626928876,-0.6040028475801241,-0.419031001342403,360.0,1,Y,1,0,0,0,0,1
0,1,0,0,-0.7032559203379576,0.11456901198050995,0.2765506275147444,360.0,2,N,0,0,1,0,0,1
1,1,0,0,-0.24279644446533494,-0.6040028475801241,-1.1767181327760814,240.0,2,Y,0,1,0,0,0,1
1,0,0,0,-0.5289517202758307,0.3628793302763165,-0.1085034884597479,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.505311272089267,0.20510677418990403,-0.5059787049495464,360.0,1,Y,1,0,0,0,0,1
1,0,0,0,0.5648600614905526,-0.6040028475801241,0.8106579496729113,360.0,2,Y,1,0,0,0,0,1
1,1,0,0,0.05835463803066768,0.9878573006331466,0.37591943163719405,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.42451033724265347,0.5038431878934744,-0.17060899103627894,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,0.15626843462427134,1.5559149057190917,0.5373937383361748,180.0,1,Y,0,0,1,0,0,1
1,1,1,0,-0.36893764187871625,0.09126604364813426,-0.7916640168015892,360.0,2,Y,0,0,1,0,0,1
1,0,0,0,-0.21721536247241147,-0.6040028475801241,-0.28239889567403476,360.0,1,Y,1,0,0,0,0,1
1,0,1,0,-0.3077194663508235,-0.6040028475801241,-1.4872456456587366,120.0,1,Y,1,0,0,0,0,1
0,1,0,0,-0.5081340121712447,0.2753976950613323,-0.0960823879444417,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.5975795885189151,-0.22313302090178697,-1.1767181327760814,360.0,1,Y,1,0,0,0,0,1
1,1,1,0,-0.20751219344061292,-0.6040028475801241,-0.3693465992811782,180.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.6360394221358621,0.7487153633205698,-0.17060899103627894,360.0,1,Y,1,0,0,0,0,1
1,1,1,0,-0.1898700679282519,0.6425149502648249,-0.14576679000566653,180.0,2,Y,0,0,1,0,0,1
1,0,0,0,-0.09195627133464822,0.8499495700103987,0.07781301926984516,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.4079267392610341,-0.21052649704984602,-0.5556631070107713,360.0,2,Y,0,1,0,0,0,1
1,1,0,0,1.0678370598479652,-0.1738529731169269,0.9969744574025042,360.0,2,Y,0,0,1,0,0,1
1,1,0,0,-0.2759636404285737,0.771254299904343,0.8851845527647485,360.0,2,N,0,0,1,0,1,0
1,1,1,0,-0.5809959905372957,-0.3159628783569885,-0.6301897101026085,480.0,1,Y,0,0,0,1,0,1
1,0,0,0,-0.008509017661180594,-0.6040028475801241,-0.1085034884597479,360.0,2,Y,1,0,0,0,0,1
1,1,0,0,1.626386753569315,-0.6040028475801241,0.5001304367902561,180.0,0,Y,0,1,0,0,0,1
0,1,0,0,-0.38763829492181895,0.26813939344960874,0.11507632081576377,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,0.03594913862996918,0.2142751551731338,0.37591943163719405,360.0,0,N,1,0,0,0,0,1
0,0,0,0,0.8898280134282426,-0.6040028475801241,1.4192918749229153,360.0,2,Y,1,0,0,0,0,1
0,0,0,0,-0.21139346105333234,-0.6040028475801241,-1.2512447358679186,360.0,1,Y,1,0,0,0,0,1
0,0,0,0,-0.5693521876991374,2.826499703645019,-0.0960823879444417,360.0,1,Y,1,0,0,0,1,0
1,1,0,0,-0.4246867584977771,-0.6040028475801241,-0.7916640168015892,360.0,1,Y,0,0,1,0,0,1
1,1,1,0,-0.18775301286676857,0.16537712326257498,0.611920341428012,360.0,0,Y,1,0,0,0,0,1
1,1,0,1,0.9083522452162217,0.8667582684796533,0.189602923907601,180.0,2,N,0,1,0,0,1,0
1,0,0,0,-0.5910520020793415,0.1329057739469695,-0.8786117204087326,360.0,2,Y,1,0,0,0,0,1
1,0,0,0,-0.4668514384723199,-0.6040028475801241,-0.9282961224699574,360.0,1,Y,1,0,0,0,0,1
1,1,0,1,-0.33612328842572475,-0.6040028475801241,-1.4872456456587366,120.0,1,Y,1,0,0,0,0,1
1,0,0,0,-0.0827823660682205,-0.6040028475801241,-0.5308209059801589,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.2406793894038516,2.3566201782544924,1.8043459908974075,360.0,1,N,0,0,0,1,0,1
0,1,0,0,-0.13782579766678688,-0.6040028475801241,-0.7544007152556705,360.0,0,N,1,0,0,0,0,1
1,1,0,1,-0.361351527908401,0.7330527124742189,-0.7047163131944457,360.0,2,Y,0,0,1,0,0,1
1,0,0,0,1.6997779957007368,-0.6040028475801241,1.2081331661627097,360.0,1,N,1,0,0,0,1,0
1,1,1,0,-0.2053951383791296,-0.05772014732934968,-0.19545119206689132,360.0,0,N,0,0,1,0,0,1
1,1,0,0,-0.05684844156504979,0.1917362185893606,0.5001304367902561,360.0,0,N,0,0,1,0,0,1
1,0,0,0,0.009309529106304039,-0.6040028475801241,0.2889717280300506,360.0,2,Y,1,0,0,0,0,1
1,0,0,1,0.2797633132107985,-0.6040028475801241,0.37591943163719405,180.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.4703798635747921,0.1730174407485998,-0.28239889567403476,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,1.1278202865899927,-0.6040028475801241,0.5249726378208686,180.0,2,Y,0,0,1,0,0,1
0,1,0,0,-0.5353028854602807,1.1097203645352425,-0.5556631070107713,360.0,1,Y,1,0,0,0,0,1
0,1,0,0,1.6763139687692967,-0.6040028475801241,-0.9282961224699574,360.0,2,Y,0,0,1,0,0,1
1,1,0,0,-0.67502851951818,-0.05963022670085588,-1.4251401430822055,360.0,2,Y,0,1,0,0,0,1
0,0,0,0,0.8178481413378096,0.03243559900574316,0.9969744574025042,360.0,0,N,1,0,0,0,0,1
1,1,0,0,-0.08895710999754684,-0.2869296719100942,-0.24513559412811614,360.0,1,Y,1,0,0,0,0,1
1,0,0,0,0.16103180851260882,-0.6040028475801241,-0.3320832977352596,360.0,0,N,1,0,0,0,1,0
1,1,0,1,-0.49172683544474893,0.8285566810495292,0.09023411978515136,360.0,0,Y,1,0,0,0,0,1
1,0,0,0,0.6707128145647188,-0.6040028475801241,1.2329753671933221,360.0,2,N,1,0,0,0,0,1
1,1,1,0,-0.5439475269613375,-0.6040028475801241,-0.3941888003117906,360.0,0,N,0,0,1,0,0,1
1,0,0,0,-0.3722896457260648,-0.6040028475801241,-1.1767181327760814,360.0,2,Y,1,0,0,0,0,1
1,1,0,0,6.110309373790993,-0.6040028475801241,5.654887150642331,180.0,1,Y,0,0,0,1,1,0
1,1,0,0,0.7363415214707018,-0.6040028475801241,0.5249726378208686,360.0,2,Y,0,1,0,0,0,1
1,1,0,0,-0.13782579766678688,1.5448364453643557,1.3696074728616905,360.0,1,Y,1,0,0,0,0,1
1,1,1,0,-0.6176916116030067,-0.20632432243253238,-0.5805053080413837,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,0.4531854069973073,-0.6040028475801241,1.6180294831678146,360.0,2,N,1,0,0,0,0,1
1,1,0,0,-0.40139915282146055,-0.11502252847453581,-0.29481999618934096,360.0,1,N,0,1,0,0,1,0
1,1,0,0,-0.21121703979820872,-0.051225877466228587,0.1647607228769886,360.0,0,Y,0,0,1,0,0,1
1,1,0,0,0.6984109516191255,-0.6040028475801241,-0.8661906198934264,180.0,2,Y,1,0,0,0,0,1
0,1,0,0,-0.13782579766678688,-0.6040028475801241,-0.4066099008270968,360.0,0,N,1,0,0,0,0,1
1,1,0,0,-0.5160729686518072,0.6692560614659117,-0.19545119206689132,360.0,0,Y,1,0,0,0,0,1
1,0,0,0,-0.5517100621867764,-0.6040028475801241,-1.0152438260771008,480.0,1,N,1,0,0,0,1,0
1,1,0,0,0.4650056310905892,-0.6040028475801241,0.6864469445198492,360.0,1,Y,0,0,1,0,0,1
1,1,1,0,-0.32500874935293733,-0.6040028475801241,-0.7916640168015892,180.0,0,N,0,0,0,1,0,1
1,1,0,0,0.06064811434727461,1.5448364453643557,0.5249726378208686,360.0,1,Y,1,0,0,0,0,1
1,1,1,1,-0.17999047764132972,-0.3228391640944108,-0.7171374137097519,360.0,1,N,1,0,0,0,0,1
1,1,0,0,-0.32941928073102755,0.14627632954751293,-0.356925498765872,360.0,0,Y,1,0,0,0,0,1
1,1,0,0,-0.5855829431705096,0.014480852913584842,-0.5432420064954651,360.0,0,Y,0,0,1,0,0,1
1,1,0,0,0.02677523336354145,3.7127765320238977,4.35067159653518,360.0,1,N,0,0,0,1,1,0
1,1,0,0,-0.2847847031847542,-0.6040028475801241,-0.356925498765872,360.0,1,Y,0,1,0,0,0,1
1,0,1,0,-0.5347736216949098,-0.049697813969023626,-0.5308209059801589,480.0,2,N,1,0,0,0,1,0
1,1,0,0,0.18273162289281286,2.1656122411038723,0.43802493421372507,360.0,2,N,0,1,0,0,1,0
1,1,0,0,-0.1348266363296855,-0.6040028475801241,-0.8910328209240388,180.0,1,Y,1,0,0,0,0,1
1,1,0,0,5.024789391015418,-0.6040028475801241,1.4317129754382214,360.0,1,N,0,1,0,0,0,1
0,1,0,0,-0.30683736007520546,-0.6040028475801241,-0.4562943028883216,360.0,1,Y,1,0,0,0,0,1
1,1,0,1,5.959998464425677,1.21057255535077,-0.30724109670464717,360.0,1,Y,1,0,0,0,0,1
1,1,0,1,-0.5621189162390694,-0.6040028475801241,-0.9779805245311822,300.0,0,N,0,1,0,0,1,0
1,1,0,0,0.6992930578947436,-0.6040028475801241,0.5373937383361748,180.0,0,Y,1,0,0,0,0,1
1,0,1,0,-0.0845465786194566,-0.6040028475801241,-1.2015603338066938,360.0,0,Y,1,0,0,0,0,1
1,0,0,0,1.17069065158503,-0.6040028475801241,0.23928732596882582,360.0,1,N,1,0,0,0,0,1
1,1,1,0,0.11798502226244792,-0.6040028475801241,0.189602923907601,360.0,2,N,1,0,0,0,0,1
1,0,0,0,-0.2657312076314043,-0.6040028475801241,-0.8537695193781202,360.0,1,Y,1,0,0,0,0,1
1,0,0,0,-0.20698292967524207,-0.6040028475801241,-0.30724109670464717,360.0,0,Y,1,0,0,0,0,1
1,1,0,0,-0.39504798763701054,0.38274415573998105,0.313813929060663,360.0,1,N,0,1,0,0,0,1
1,0,0,0,0.5237539090467515,0.8285566810495292,0.5249726378208686,360.0,0,Y,1,0,0,0,0,1
1,0,0,1,0.9942693964614199,-0.6040028475801241,-0.7668218157709767,360.0,2,N,1,0,0,0,0,1
1,1,1,0,-0.4876691465769059,0.35103683817297804,-0.6798741121638333,360.0,1,Y,0,1,0,0,0,1
1,0,0,0,-0.07784257092475941,-0.6040028475801241,0.2641295269994382,360.0,1,Y,0,0,1,0,1,0
1,1,1,0,-0.32889001696565673,-0.19027965571188027,-0.1209245889750541,360.0,2,Y,0,1,0,0,0,1
1,1,1,0,-0.25532235357911126,-0.6040028475801241,-0.25755669464342235,360.0,1,Y,0,0,1,0,0,1
0,0,1,0,-0.16869951731341867,-0.6040028475801241,-0.30724109670464717,360.0,1,Y,1,0,0,0,0,1
0,0,0,0,-0.3740538582773009,-0.6040028475801241,-0.8040851173168954,360.0,2,Y,1,0,0,0,0,1
1,0,1,0,-0.2450899207819419,0.3628793302763165,-1.1146126301995505,360.0,0,Y,1,0,0,0,0,1
1,0,0,0,-0.5090161184468628,-0.6040028475801241,-1.0649282281383257,360.0,2,Y,1,0,0,0,0,1
1,0,0,0,-0.3433565598857928,-0.6040028475801241,-0.22029339309750373,360.0,1,N,1,0,0,0,0,1
0,0,0,0,0.8178481413378096,-0.6040028475801241,0.8603423517341361,360.0,1,N,1,0,0,0,0,1
1,1,0,0,-0.3412395048243094,-0.12648300470357304,-0.20787229258219753,360.0,1,N,0,0,0,1,1,0
1,1,0,1,0.4274279037492602,-0.6040028475801241,1.1832909651320973,360.0,2,Y,0,1,0,0,0,1
1,1,1,1,0.05976600807165656,-0.6040028475801241,-0.18303009155158512,360.0,0,Y,0,0,0,1,0,1
1,1,0,0,-0.38657976739107724,0.5500671086839245,-0.0960823879444417,360.0,2,Y,1,0,0,0,0,1
1,1,1,0,-0.26714257767239313,-0.22848124314200435,-0.5556631070107713,360.0,1,Y,0,0,0,1,0,1
1,1,0,0,-0.919901221629751,0.08362572616210943,-0.1209245889750541,360.0,0,N,1,0,0,0,0,1
1,1,0,0,-0.2888423920525972,0.07407532930457841,-0.17060899103627894,360.0,1,Y,1,0,0,0,0,1
